Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
Sports & Leisure: Who said, "You don't know what a weight it was off my shoulders, a tremendous weight," on April 8, 1974?|Hank Aaron
Sports & Leisure: Who arrived on court for a 1973 tennis match in a Chinese rickshaw?|Bobby Riggs
Science & Nature: Where was a meal of bacon squares, cookies, peaches, fruit drink and coffee enjoyed on July 20, 1969?|the moon
Arts & Entertainment: What character did John Belushi portray at his "Saturday Night Live" audition?|A samurai warrior
World: What's the name of the "Citizen Kane" sled owned by Steven Spielberg?|Rosebud
History: What country declared war on Japan between the bombings of Hiroshima and Nagasaki?|The Soviet Union
History: What nation was horrified to see its state dinner disagree with the US president in 1992?|Japan
People & Places: What did David Koresh aptly name his ranch before it went up in flames?|Ranch Apocalypse
Arts & Entertainment: What showman unleashed a pint-sized performer on the world?|P.T. Barnum
Science & Nature: What fungus are dogs taught to sniff out in the Perigord district of France?|Truffles
People & Places: What British naval hero stands atop a column in Trafalgar Square?|Horatio Nelson
Science & Nature: What's the term for the nest of eagles to which they return every year?|Aerie
History: Which of the signers of the Declaration of Independance is believed to have been the richest man in the 13 colonies?|John Hancock
Arts & Entertainment: What game show got in gear after Johnny Olsen yelled "Come on down"?|The Price Is Right
Arts & Entertainment: What TV show opened: "Once upon a time there were three girls who went to the police academy"?|Charlie's Angels
Sports & Leisure: What visual condition prevents people from seeing greens properly?|Color blindness
Sports & Leisure: Who broke Lou Brock's career steals record on May 1, 1991?|Rickey Henderson
Arts & Entertainment: What performer pocketed the most cash at 1969's Woodstock?|Jimi Hendrix
People & Places: What city's opera lovers first flocked to this facility in 1973?|Sydney's
World: What boat took Gary Hart and Donna Rice on their infamous excursion to Bimini?|Monkey Business
World: Who was the first president to have a brother with a beer named for him?|Jimmy Carter
Sports & Leisure: What apt weapon was used in an 1843 duel between two Frenchmen who had argued over billiards?|Billiard balls
World: What color was a mood ring supposed to turn if its wearer were depressed?|Black
History: Who was the first recipient of a full, free and absolute pardon given by the 38th president of the USA?"|Richard Nixon
People & Places: What one-time federal prison got its name from the Spanish word for pelican?|Alcatraz
Arts & Entertainment: What was the sequel to the book "Alice In Wonderland"?|Through the Looking Glass
World: What president-to-be wore one black and one brown shoe on his wedding day?|Gerald Ford
Arts & Entertainment: What hit movie spent 10 percent of its budget for the rights to 41 golden oldies?|American Graffiti
Arts & Entertainment: What coin did Patrick Swayze use to perform magical mind-over-matter feats in the movie "Ghost"?|A penny
Arts & Entertainment: What movie sees Tom Cruise sound off: "I feel the need, the need for speed"?|Top Gun
Sports & Leisure: Who's the only American to win, defend and lose a world heavyweight title outside the U.S.?|George Foreman
Science & Nature: What software mogul planned to put over 850 of these in space to pave the information superhighway?|Bill Gates
World: What four-word phrase sums up the quality of a well-known fried chicken franchise's fare?|it's finger-lickin' good!
Sports & Leisure: Who strong-armed his way to a record 109 men's tennis tournament wins?|Jimmy Connors
